tour_id,url,name,name_original,sport,tour_type,difficulty,distance_m,duration_s,elevation_up_m,elevation_down_m,roundtrip,start_lat,start_lng,start_alt_m,region,description,categories,rating_score
e1000043794,https://www.komoot.com/smarttour/e1000043794,Cabezón Valley Loop,Cabezón de la Sal - La Cocina – circular por el Alto la Cerra y arroyo San Ciprián,mountainbike,editorial_tour,moderate,32395.330878284047,9998,782.2175896,782.2513325348923,TRUE,43.302933,-4.237711,134.3,Cabezón De La Sal,"This moderate 20.1-mile mountain biking route near Cabezón de la Sal offers varied terrain, including the Alto la Cerra and arroyo San Cipri","['bridge', 'challenging', 'climb', 'intermediate', 'river', 'trail', 'viewpoint']",3
e1000263300,https://www.komoot.com/smarttour/e1000263300,Lac de Clarens Loop from Casteljaloux,Tour du Lac de Clarens – boucle à Casteljaloux,hike,editorial_tour,moderate,8479.461981839608,7836,36.38991273880946,36.38991273880946,TRUE,44.313968,0.088295,68.7,Casteljaloux,"Hike a moderate 5.3-mile loop around Lac de Clarens in Casteljaloux, enjoying lake views and pine forests over varied terrain.","['beach', 'facilities', 'family_friendly', 'forest', 'lake']",4
e1000271422,https://www.komoot.com/smarttour/e1000271422,Puig de ses Torretes Loop,Puig de ses Torretes y cala Sol d'en Serrà — circular por la península de Es Castellar,hike,editorial_tour,moderate,4148.679424639411,4783,168.09107365960335,168.28251058765886,TRUE,38.951894,1.518318,26.2,Santa Eulalia Del Río,"This moderate 2.6-mile hike on the Puig de ses Torretes Loop offers coastal views, steep sections, and passes Sol d'en Serrà Beach.","['beach', 'challenging', 'family_friendly', 'intermediate', 'natural_monument', 'other_natural', 'summit', 'unknown', 'viewpoint']",4.406392574310303
e1000272479,https://www.komoot.com/smarttour/e1000272479,"Barbaste, Béas, and Lausseignan Hike",Barbaste et le Moulin d'Henri IV – boucle,hike,editorial_tour,moderate,15927.675344365407,15753,257.8097958553429,257.88870372220714,TRUE,44.170007,0.286653,53.2,Barbaste,"Hike the 9.9-mile Barbaste, Béas, and Lausseignan loop, a moderate trail winding through diverse landscapes and past historic Henry IV's Mil","['bridge', 'castle', 'historical_site', 'intermediate', 'man_made_monument']",4.5
e1000289420,https://www.komoot.com/smarttour/e1000289420,Puig Tomir Loop from Lluc,Puig Tomir por el paso de Pedregueret — circular por el Paraje Natural de la Serra de Tramuntana,hike,editorial_tour,difficult,14479.23690102854,20013,809.2151006,809.2151006268903,TRUE,39.81699,2.893232,528.6,Escorca,"Hike the difficult 9.0-mile Puig Tomir via Pedregueret pass circular route in Serra de Tramuntana, gaining 2655 feet with panoramic views.","['challenging', 'climb', 'family_friendly', 'forest', 'historical_site', 'intermediate', 'man_made_monument', 'mountain_pass', 'other_man_made', 'summit', 'trail', 'viewpoint']",4.309523582458496
e1000296691,https://www.komoot.com/smarttour/e1000296691,Puig de Randa: Three Sanctuaries Trail,Santuarios de Cura y Nostra Senyora de Gràcia — circular por el Puig de Randa,hike,editorial_tour,moderate,9173.606278304615,10092,322.8750910280437,324.22097899768414,TRUE,39.526356,2.913955,282.5,Algaida,"Hike the moderate 5.7-mile circular route to the Sanctuaries of Cura and Nostra Senyora de Gràcia, enjoying panoramic views from Puig de Ran","['cafe', 'climb', 'facilities', 'family_friendly', 'historical_site', 'intermediate', 'man_made_monument', 'natural_monument', 'other_man_made', 'religious_building', 'restaurant', 'summit', 'viewpoint']",4.311110973358154
e1000303229,https://www.komoot.com/smarttour/e1000303229,Xaintrailles to Pompiey Landscape Trail,Le château de Xaintrailles – boucle,hike,editorial_tour,moderate,9820.819647375158,9624,143.8569036287868,144.41790052301502,TRUE,44.206288,0.258326,188.6,Xaintrailles,"Hike a moderate 6.1-mile (9.8 km) loop around the historic Château de Xaintrailles, gaining 472 feet (144 metres) in 2h 40m.",['castle'],4
e1000335493,https://www.komoot.com/smarttour/e1000335493,Landiras and Budos Castles Loop,Boucle de Landiras,mountainbike,editorial_tour,moderate,52025.69546,12947,173.03674128584848,173.0828110045465,TRUE,44.567148,-0.412008,37,Landiras,"This moderate 32.3-mile mountain bike loop near Landiras takes you through oak forests and Gironde moors, with 568 feet of elevation gain.","['castle', 'historical_site', 'intermediate', 'unknown']",4
e1000367016,https://www.komoot.com/smarttour/e1000367016,Tentecarreta Trail Loop,La Rambla y Montalbán de Córdoba – circular,jogging,editorial_tour,moderate,11794.56066294841,4860,234.94278807648544,231.67060402427353,TRUE,37.584274,-4.748735,280.3,Montalbán De Córdoba,Jog this 7.3-mile (11.8 km) moderate circular route through the agricultural landscapes and traditional towns of Cordoba's countryside.,"['facilities', 'family_friendly', 'historical_site', 'intermediate', 'man_made_monument', 'other_man_made', 'religious_building', 'settlement', 'unknown', 'wheelchair_accessible']",
e1000368765,https://www.komoot.com/smarttour/e1000368765,Transcantábrica - Palombera Pass Loop,Puerto de Palombera - Fontibre – circular desde Reinosa por la Transcantábrica,mountainbike,editorial_tour,moderate,35602.22902200838,12136,898.8867093,898.8867093,TRUE,43.002244,-4.15501,863.1,Campoo De Enmedio,"Experience the Transcantábrica - Palombera Pass Loop, a moderate 22.1-mile mountain biking route with stunning views and challenging terrain","['castle', 'family_friendly', 'historical_site', 'intermediate', 'mountain_pass', 'natural_monument', 'river', 'summit', 'trail', 'viewpoint']",4.666666507720947
